"os_id","contribution_date","name","address","country_code","country_name","lat","lng","sector","contributor (list)","number_of_workers","parent_company","processing_type_facility_type_raw","facility_type","processing_type","product_type","is_closed"
"IN20223053NJQAG","2022-10-31","ADANI WILMAR LIMITED"," UDAYPUR,MOZA: JOUGRAM & AMRAH  REORAE GOPALPUR, PS.JAMALPUR DIST.BURDWAN,  713166","IN","India",23.0660252,87.9894275,"Government Registry","Government of West Bengal Registered Factories [Public List] (West Bengal Registered Factories List)","","","","","","","False"
"IN2022300QKYJWP","2022-10-27","Adani Wilmar Ltd","Ward No-5,Oil Terminal Road,Atharbanki,Paradip,Dist-Jagatsinghpur,Odisha-754142,India 754142 Paradip Odisha India","IN","India",20.286,86.641,"Agriculture|Food|Food & Beverage|Food Industry|Food Manufacturing","An Auditor / Certification Scheme / Service Provider|NDPE [Public List] (NDPE Implementation Reporting Framework (IRF) September 2023 Refinery Facility List)|An Auditor / Certification Scheme / Service Provider|Roundtable on Sustainable Palm Oil (RSPO) [Public List] (Roundtable on Sustainable Palm Oil September 2022)","","Wilmar","Refinery | Manufacturing Plant","","Refinery|Manufacturing Plant","","False"
"UA20232659PEPXA","2023-09-22","Delta Wilmar CIS Ltd","6, Industrialna str. 65481 Yuzhne, Odessa Region, Ukraine","UA","Ukraine",46.6244981,31.1029029,"Food|Food & Beverage|Food Industry|Food Manufacturing","NDPE [Public List] (NDPE Implementation Reporting Framework (IRF) September 2023 Refinery Facility List)","","Wilmar","Refinery | Manufacturing Plant","","Refinery|Manufacturing Plant","","False"
"PL2023292V1NPYN","2023-10-19","Erca Wilmar Cosmetic Ingredients Sp. Z O.O.","Ul. Ii Armii Wojska Polskiego 44 08-400 Garwolin Poland","PL","Poland",51.8943583,21.5836706,"Agriculture|Food|Food & Beverage|Food Manufacturing","An Auditor / Certification Scheme / Service Provider|Roundtable on Sustainable Palm Oil (RSPO) [Public List] (Roundtable on Sustainable Palm Oil September 2022)","","","","","","","False"
"IT2023292KM71JJ","2023-10-19","Erca Wilmar Cosmetic Ingredients S.R.L.","Via Padergnone 5/7 24050 Grassobbio (Bergamo) Italy","IT","Italy",45.6571916,9.708156299999999,"Agriculture|Food|Food & Beverage|Food Manufacturing","An Auditor / Certification Scheme / Service Provider|Roundtable on Sustainable Palm Oil (RSPO) [Public List] (Roundtable on Sustainable Palm Oil September 2022)","","","","","","","False"
"ID2023265DGTZF6","2023-09-22","PT Volac Wilmar Feed Ingredients Indonesia","Jln.Kapten Darmosugondo No.56, Indro, Kebomas, GresikJawa Timur","ID","Indonesia",-7.190187799999999,112.6574869,"Food|Food & Beverage|Food Industry|Food Manufacturing","NDPE [Public List] (NDPE Implementation Reporting Framework (IRF) September 2023 Refinery Facility List)","","Wilmar","Refinery | Manufacturing Plant","","Refinery|Manufacturing Plant","","False"
"ID2022301SQH923","2023-09-22","PT Wilmar Bioenergi Indonesia","Jl. Pulau Belitung, Kawasan Industri Dumai, Pelintung, Medang Kampai Kota Dumai, Riau","ID","Indonesia",1.6525527,101.6444681,"Agriculture|Food|Food & Beverage|Food Industry|Food Manufacturing","An Auditor / Certification Scheme / Service Provider|NDPE [Public List] (NDPE Implementation Reporting Framework (IRF) September 2023 Refinery Facility List)|An Auditor / Certification Scheme / Service Provider|Roundtable on Sustainable Palm Oil (RSPO) [Public List] (Roundtable on Sustainable Palm Oil September 2022)","","Wilmar|Wilmar International Limited","Refinery | Manufacturing Plant","","Refinery|Manufacturing Plant","","False"
"ID2023265G73V5V","2023-09-22","PT Wilmar Cahaya Indonesia, Cikarang","Jl. Industri Selatan 3, Kawasan Industri Jababeka II Blok GG1, Cikarang, Kabupaten Bekasi, Provinsi Jawa Barat, Indonesia","ID","Indonesia",-6.2856738,107.0912824,"Agriculture|Food|Food & Beverage|Food Industry|Food Manufacturing","NDPE [Public List] (NDPE Implementation Reporting Framework (IRF) September 2023 Refinery Facility List)|An Auditor / Certification Scheme / Service Provider|Roundtable on Sustainable Palm Oil (RSPO) [Public List] (Roundtable on Sustainable Palm Oil September 2022)","","Wilmar|Wilmar International Limited","Refinery | Manufacturing Plant","","Refinery|Manufacturing Plant","","False"
"ID20222999RF9KK","2023-09-22","PT Wilmar Cahaya Indonesia, Pontianak","Jl. Khatulistiwa KM 4.3 Kelurahan Batu Layang, Kecamatan Pontianak Utara 78244, Indonesia","ID","Indonesia",0.0039568,109.3118976,"Agriculture|Food|Food & Beverage|Food Industry|Food Manufacturing","An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider|NDPE [Public List] (NDPE Implementation Reporting Framework (IRF) September 2023 Refinery Facility List)|An Auditor / Certification Scheme / Service Provider|Roundtable on Sustainable Palm Oil (RSPO) [Public List] (Roundtable on Sustainable Palm Oil September 2022)","","Wilmar|Wilmar International Limited","Refinery | Manufacturing Plant","","Refinery|Manufacturing Plant","","False"
"ID202326520HZCZ","2023-09-22","PT Wilmar Nabati Indonesia, Balikpapan","Teluk Waru, Keluharan Kariangau, Kecematan Balikpapan Barat, Balikpapan, Kalimantan Timur, Indonesia","ID","Indonesia",-1.0989332,116.8203511,"Food|Food & Beverage|Food Industry|Food Manufacturing","NDPE [Public List] (NDPE Implementation Reporting Framework (IRF) September 2023 Refinery Facility List)","","Wilmar","Refinery | Manufacturing Plant","","Refinery|Manufacturing Plant","","False"
